Report_Name,Title Master Report
Report_ID,TR
Release,5
Institution_Name,"University of Mary Washington"
Institution_ID,CUP:8a9402095413b9bc015413e3df7216b0
Metric_Types,Total_Item_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests; No_License; Limit_Exceeded
Report_Filters,Data_Type=Book|Journal
Report_Attributes,Attributes_To_Show=Access_Method|Data_Type|Access_Type|Section_Type|YOP
Exceptions,"3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Data_Type was invalid with the value(s) Platform); 3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Access_Type was invalid with the value(s) Other_Free_To_Read)"
Reporting_Period,Begin_Date=2020-07-01; End_Date=2021-06-30
Created,2022-01-12T19:10:00Z
Created_By,Cambridge Core

Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"Reuse and Renovation in Roman Material Culture",Cambridge University Press,,Cambridge Core,10.1017/9781108582513,,978-1-108-58251-3,,,https://doi.org/10.1017/9781108582513,Book,Chapter,"2018",Controlled,Regular,No_License,2,0,0,0,0,0,0,0,0,0,2,0,0,
"Reuse and Renovation in Roman Material Culture",Cambridge University Press,,Cambridge Core,10.1017/9781108582513,,978-1-108-58251-3,,,https://doi.org/10.1017/9781108582513,Book,,"2018",Controlled,Regular,Unique_Title_Investigations,2,0,0,0,0,0,0,0,0,0,2,0,0,
"Quagmire in Civil War",Cambridge University Press,,Cambridge Core,10.1017/9781108762465,,978-1-108-76246-5,,,https://doi.org/10.1017/9781108762465,Book,Book,"2019",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Quagmire in Civil War",Cambridge University Press,,Cambridge Core,10.1017/9781108762465,,978-1-108-76246-5,,,https://doi.org/10.1017/9781108762465,Book,Book,"2019",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Quagmire in Civil War",Cambridge University Press,,Cambridge Core,10.1017/9781108762465,,978-1-108-76246-5,,,https://doi.org/10.1017/9781108762465,Book,,"2019",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Python for Linguists",Cambridge University Press,,Cambridge Core,10.1017/9781108642408,,978-1-108-64240-8,,,https://doi.org/10.1017/9781108642408,Book,Book,"2020",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Python for Linguists",Cambridge University Press,,Cambridge Core,10.1017/9781108642408,,978-1-108-64240-8,,,https://doi.org/10.1017/9781108642408,Book,Book,"2020",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Python for Linguists",Cambridge University Press,,Cambridge Core,10.1017/9781108642408,,978-1-108-64240-8,,,https://doi.org/10.1017/9781108642408,Book,,"2020",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Expanded Sampling Across Ontogeny in &lt;I&gt;Deltasuchus motherali&lt;/I&gt; (Neosuchia, Crocodyliformes)",Cambridge University Press,,Cambridge Core,10.1017/9781009042024,CUP:Cambridge Elements,978-1-00-904202-4,,,https://doi.org/10.1017/9781009042024,Book,Book,"2021",OA_Gold,Regular,Total_Item_Investigations,5,0,0,0,0,0,0,0,0,0,5,0,0,
"Expanded Sampling Across Ontogeny in &lt;I&gt;Deltasuchus motherali&lt;/I&gt; (Neosuchia, Crocodyliformes)",Cambridge University Press,,Cambridge Core,10.1017/9781009042024,CUP:Cambridge Elements,978-1-00-904202-4,,,https://doi.org/10.1017/9781009042024,Book,Book,"2021",OA_Gold,Regular,Total_Item_Requests,3,0,0,0,0,0,0,0,0,0,3,0,0,
"Expanded Sampling Across Ontogeny in &lt;I&gt;Deltasuchus motherali&lt;/I&gt; (Neosuchia, Crocodyliformes)",Cambridge University Press,,Cambridge Core,10.1017/9781009042024,CUP:Cambridge Elements,978-1-00-904202-4,,,https://doi.org/10.1017/9781009042024,Book,Book,"2021",OA_Gold,Regular,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Expanded Sampling Across Ontogeny in &lt;I&gt;Deltasuchus motherali&lt;/I&gt; (Neosuchia, Crocodyliformes)",Cambridge University Press,,Cambridge Core,10.1017/9781009042024,CUP:Cambridge Elements,978-1-00-904202-4,,,https://doi.org/10.1017/9781009042024,Book,,"2021",OA_Gold,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Expanded Sampling Across Ontogeny in &lt;I&gt;Deltasuchus motherali&lt;/I&gt; (Neosuchia, Crocodyliformes)",Cambridge University Press,,Cambridge Core,10.1017/9781009042024,CUP:Cambridge Elements,978-1-00-904202-4,,,https://doi.org/10.1017/9781009042024,Book,,"2021",OA_Gold,Regular,Unique_Title_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"A History of Russian Philosophy 1830â1930",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511712227,,978-0-511-71222-7,,,https://doi.org/10.1017/CBO9780511712227,Book,Chapter,"2010",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"A History of Russian Philosophy 1830â1930",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511712227,,978-0-511-71222-7,,,https://doi.org/10.1017/CBO9780511712227,Book,Chapter,"2010",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,1,0,
"A History of Russian Philosophy 1830â1930",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511712227,,978-0-511-71222-7,,,https://doi.org/10.1017/CBO9780511712227,Book,,"2010",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"The Shiites of Lebanon under Ottoman Rule, 1516â1788",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511676413,,978-0-511-67641-3,,,https://doi.org/10.1017/CBO9780511676413,Book,Book,"2010",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"The Shiites of Lebanon under Ottoman Rule, 1516â1788",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511676413,,978-0-511-67641-3,,,https://doi.org/10.1017/CBO9780511676413,Book,Book,"2010",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,1,0,
"The Shiites of Lebanon under Ottoman Rule, 1516â1788",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511676413,,978-0-511-67641-3,,,https://doi.org/10.1017/CBO9780511676413,Book,,"2010",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Mammoths and the Environment",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139225328,,978-1-139-22532-8,,,https://doi.org/10.1017/CBO9781139225328,Book,Chapter,"2013",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Mammoths and the Environment",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139225328,,978-1-139-22532-8,,,https://doi.org/10.1017/CBO9781139225328,Book,Chapter,"2013",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Mammoths and the Environment",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139225328,,978-1-139-22532-8,,,https://doi.org/10.1017/CBO9781139225328,Book,,"2013",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Is Bipartisanship Dead?",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139942324,,978-1-139-94232-4,,,https://doi.org/10.1017/CBO9781139942324,Book,Chapter,"2015",Controlled,Regular,Total_Item_Investigations,2,0,0,0,0,0,0,0,0,0,0,2,0,
"Is Bipartisanship Dead?",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139942324,,978-1-139-94232-4,,,https://doi.org/10.1017/CBO9781139942324,Book,Chapter,"2015",Controlled,Regular,No_License,2,0,0,0,0,0,0,0,0,0,0,2,0,
"Is Bipartisanship Dead?",Cambridge University Press,,Cambridge Core,10.1017/CBO9781139942324,,978-1-139-94232-4,,,https://doi.org/10.1017/CBO9781139942324,Book,,"2015",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Theater of a Thousand Wonders",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316212615,,978-1-316-21261-5,,,https://doi.org/10.1017/CBO9781316212615,Book,Book,"2016",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Theater of a Thousand Wonders",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316212615,,978-1-316-21261-5,,,https://doi.org/10.1017/CBO9781316212615,Book,Book,"2016",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Theater of a Thousand Wonders",Cambridge University Press,,Cambridge Core,10.1017/CBO9781316212615,,978-1-316-21261-5,,,https://doi.org/10.1017/CBO9781316212615,Book,,"2016",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Digital Literacy Unpacked",Facet,,Cambridge Core,10.29085/9781783301997,,978-1-78330-199-7,,,https://doi.org/10.29085/9781783301997,Book,Chapter,"2018",Controlled,Regular,Total_Item_Investigations,2,0,0,0,0,0,0,0,0,0,0,0,2,
"Digital Literacy Unpacked",Facet,,Cambridge Core,10.29085/9781783301997,,978-1-78330-199-7,,,https://doi.org/10.29085/9781783301997,Book,Chapter,"2018",Controlled,Regular,No_License,2,0,0,0,0,0,0,0,0,0,0,0,2,
"Digital Literacy Unpacked",Facet,,Cambridge Core,10.29085/9781783301997,,978-1-78330-199-7,,,https://doi.org/10.29085/9781783301997,Book,,"2018",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Women, Power, and Property",Cambridge University Press,,Cambridge Core,10.1017/9781108869287,,978-1-108-86928-7,,,https://doi.org/10.1017/9781108869287,Book,Book,"2020",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Women, Power, and Property",Cambridge University Press,,Cambridge Core,10.1017/9781108869287,,978-1-108-86928-7,,,https://doi.org/10.1017/9781108869287,Book,Book,"2020",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Women, Power, and Property",Cambridge University Press,,Cambridge Core,10.1017/9781108869287,,978-1-108-86928-7,,,https://doi.org/10.1017/9781108869287,Book,,"2020",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Endangered Languages",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139033817,CUP:Textbooks on Cambridge Core,978-1-139-03381-7,,,https://doi.org/10.1017/CBO9781139033817,Book,Book,"2015",Controlled,Regular,Total_Item_Investigations,2,0,2,0,0,0,0,0,0,0,0,0,0,
"Endangered Languages",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139033817,CUP:Textbooks on Cambridge Core,978-1-139-03381-7,,,https://doi.org/10.1017/CBO9781139033817,Book,Book,"2015",Controlled,Regular,No_License,2,0,2,0,0,0,0,0,0,0,0,0,0,
"Endangered Languages",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139033817,CUP:Textbooks on Cambridge Core,978-1-139-03381-7,,,https://doi.org/10.1017/CBO9781139033817,Book,,"2015",Controlled,Regular,Unique_Title_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Women and Gender in Early Modern Europe",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/9781108683524,CUP:Textbooks on Cambridge Core,978-1-108-68352-4,,,https://doi.org/10.1017/9781108683524,Book,Book,"2019",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Women and Gender in Early Modern Europe",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/9781108683524,CUP:Textbooks on Cambridge Core,978-1-108-68352-4,,,https://doi.org/10.1017/9781108683524,Book,Book,"2019",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Women and Gender in Early Modern Europe",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/9781108683524,CUP:Textbooks on Cambridge Core,978-1-108-68352-4,,,https://doi.org/10.1017/9781108683524,Book,,"2019",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Language Change",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139096768,CUP:Textbooks on Cambridge Core,978-1-139-09676-8,,,https://doi.org/10.1017/CBO9781139096768,Book,Book,"2015",Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Language Change",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139096768,CUP:Textbooks on Cambridge Core,978-1-139-09676-8,,,https://doi.org/10.1017/CBO9781139096768,Book,Book,"2015",Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Language Change",Cambridge University Press,,Higher Education from Cambridge University Press,10.1017/CBO9781139096768,CUP:Textbooks on Cambridge Core,978-1-139-09676-8,,,https://doi.org/10.1017/CBO9781139096768,Book,,"2015",Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,0,0,0,0,0,1,0,
"American Slavic and East European Review",Cambridge University Press,,Cambridge Core,,CUP:SVA,,1049-7544,2326-4985,https://www.cambridge.org/core/product/identifier/SVA/type/journal,Journal,Article,"1948",Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"American Slavic and East European Review",Cambridge University Press,,Cambridge Core,,CUP:SVA,,1049-7544,2326-4985,https://www.cambridge.org/core/product/identifier/SVA/type/journal,Journal,Article,"1948",Controlled,Regular,No_License,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The Journal of Asian Studies",Cambridge University Press,,Cambridge Core,,CUP:JAS,,0021-9118,1752-0401,https://www.cambridge.org/core/product/identifier/JAS/type/journal,Journal,Article,"1995",Controlled,Regular,Total_Item_Investigations,2,1,0,1,0,0,0,0,0,0,0,0,0,
"The Journal of Asian Studies",Cambridge University Press,,Cambridge Core,,CUP:JAS,,0021-9118,1752-0401,https://www.cambridge.org/core/product/identifier/JAS/type/journal,Journal,Article,"1995",Controlled,Regular,No_License,2,1,0,1,0,0,0,0,0,0,0,0,0,
"Psychological Medicine",Cambridge University Press,,Cambridge Core,,CUP:PSM,,0033-2917,1469-8978,https://www.cambridge.org/core/product/identifier/PSM/type/journal,Journal,Article,"2002",Controlled,Regular,Total_Item_Investigations,3,2,0,0,1,0,0,0,0,0,0,0,0,
"Psychological Medicine",Cambridge University Press,,Cambridge Core,,CUP:PSM,,0033-2917,1469-8978,https://www.cambridge.org/core/product/identifier/PSM/type/journal,Journal,Article,"2002",Controlled,Regular,Total_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Psychological Medicine",Cambridge University Press,,Cambridge Core,,CUP:PSM,,0033-2917,1469-8978,https://www.cambridge.org/core/product/identifier/PSM/type/journal,Journal,Article,"2002",Controlled,Regular,Unique_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"English Today",Cambridge University Press,,Cambridge Core,,CUP:ENG,,0266-0784,1474-0567,https://www.cambridge.org/core/product/identifier/ENG/type/journal,Journal,Article,"2006",Controlled,Regular,Total_Item_Investigations,5,5,0,0,0,0,0,0,0,0,0,0,0,
"English Today",Cambridge University Press,,Cambridge Core,,CUP:ENG,,0266-0784,1474-0567,https://www.cambridge.org/core/product/identifier/ENG/type/journal,Journal,Article,"2006",Controlled,Regular,Total_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"English Today",Cambridge University Press,,Cambridge Core,,CUP:ENG,,0266-0784,1474-0567,https://www.cambridge.org/core/product/identifier/ENG/type/journal,Journal,Article,"2006",Controlled,Regular,Unique_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"International Organization",Cambridge University Press,,Cambridge Core,,CUP:INO,,0020-8183,1531-5088,https://www.cambridge.org/core/product/identifier/INO/type/journal,Journal,Article,"2008",Controlled,Regular,Total_Item_Investigations,8,3,0,0,0,0,3,2,0,0,0,0,0,
"International Organization",Cambridge University Press,,Cambridge Core,,CUP:INO,,0020-8183,1531-5088,https://www.cambridge.org/core/product/identifier/INO/type/journal,Journal,Article,"2008",Controlled,Regular,Total_Item_Requests,7,2,0,0,0,0,3,2,0,0,0,0,0,
"International Organization",Cambridge University Press,,Cambridge Core,,CUP:INO,,0020-8183,1531-5088,https://www.cambridge.org/core/product/identifier/INO/type/journal,Journal,Article,"2008",Controlled,Regular,Unique_Item_Requests,3,1,0,0,0,0,1,1,0,0,0,0,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2011",Controlled,Regular,Total_Item_Investigations,3,1,0,0,0,0,1,0,0,0,1,0,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2011",Controlled,Regular,Total_Item_Requests,2,0,0,0,0,0,1,0,0,0,1,0,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2011",Controlled,Regular,Unique_Item_Requests,2,0,0,0,0,0,1,0,0,0,1,0,0,
"PS: Political Science & Politics",Cambridge University Press,,Cambridge Core,,CUP:PSC,,1049-0965,1537-5935,https://www.cambridge.org/core/product/identifier/PSC/type/journal,Journal,Article,"2011",Controlled,Regular,Total_Item_Investigations,2,2,0,0,0,0,0,0,0,0,0,0,0,
"PS: Political Science & Politics",Cambridge University Press,,Cambridge Core,,CUP:PSC,,1049-0965,1537-5935,https://www.cambridge.org/core/product/identifier/PSC/type/journal,Journal,Article,"2011",Controlled,Regular,Total_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"PS: Political Science & Politics",Cambridge University Press,,Cambridge Core,,CUP:PSC,,1049-0965,1537-5935,https://www.cambridge.org/core/product/identifier/PSC/type/journal,Journal,Article,"2011",Controlled,Regular,Unique_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The British Journal of Psychiatry",Cambridge University Press,,Cambridge Core,,CUP:BJP,,0007-1250,1472-1465,https://www.cambridge.org/core/product/identifier/BJP/type/journal,Journal,Article,"2013",Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2013",Controlled,Regular,Total_Item_Investigations,12,3,0,3,4,0,0,0,0,0,1,1,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2013",Controlled,Regular,Total_Item_Requests,7,2,0,1,2,0,0,0,0,0,1,1,0,
"Journal of American Studies",Cambridge University Press,,Cambridge Core,,CUP:AMS,,0021-8758,1469-5154,https://www.cambridge.org/core/product/identifier/AMS/type/journal,Journal,Article,"2013",Controlled,Regular,Unique_Item_Requests,6,2,0,1,1,0,0,0,0,0,1,1,0,
"The Classical Review",Cambridge University Press,,Cambridge Core,,CUP:CAR,,0009-840X,1464-3561,https://www.cambridge.org/core/product/identifier/CAR/type/journal,Journal,Article,"2014",Controlled,Regular,Total_Item_Investigations,5,2,0,1,0,0,1,0,0,1,0,0,0,
"The Classical Review",Cambridge University Press,,Cambridge Core,,CUP:CAR,,0009-840X,1464-3561,https://www.cambridge.org/core/product/identifier/CAR/type/journal,Journal,Article,"2014",Controlled,Regular,Total_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0,
"The Classical Review",Cambridge University Press,,Cambridge Core,,CUP:CAR,,0009-840X,1464-3561,https://www.cambridge.org/core/product/identifier/CAR/type/journal,Journal,Article,"2014",Controlled,Regular,Unique_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0,
"Language in Society",Cambridge University Press,,Cambridge Core,,CUP:LSY,,0047-4045,1469-8013,https://www.cambridge.org/core/product/identifier/LSY/type/journal,Journal,Article,"2016",Controlled,Regular,Total_Item_Investigations,5,5,0,0,0,0,0,0,0,0,0,0,0,
"Language in Society",Cambridge University Press,,Cambridge Core,,CUP:LSY,,0047-4045,1469-8013,https://www.cambridge.org/core/product/identifier/LSY/type/journal,Journal,Article,"2016",Controlled,Regular,Total_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0,
"Language in Society",Cambridge University Press,,Cambridge Core,,CUP:LSY,,0047-4045,1469-8013,https://www.cambridge.org/core/product/identifier/LSY/type/journal,Journal,Article,"2016",Controlled,Regular,Unique_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0,
"Victorian Literature and Culture",Cambridge University Press,,Cambridge Core,,CUP:VLC,,1060-1503,1470-1553,https://www.cambridge.org/core/product/identifier/VLC/type/journal,Journal,Article,"2017",Controlled,Regular,Total_Item_Investigations,2,1,0,0,0,0,1,0,0,0,0,0,0,
"Victorian Literature and Culture",Cambridge University Press,,Cambridge Core,,CUP:VLC,,1060-1503,1470-1553,https://www.cambridge.org/core/product/identifier/VLC/type/journal,Journal,Article,"2017",Controlled,Regular,Total_Item_Requests,2,1,0,0,0,0,1,0,0,0,0,0,0,
"Victorian Literature and Culture",Cambridge University Press,,Cambridge Core,,CUP:VLC,,1060-1503,1470-1553,https://www.cambridge.org/core/product/identifier/VLC/type/journal,Journal,Article,"2017",Controlled,Regular,Unique_Item_Requests,2,1,0,0,0,0,1,0,0,0,0,0,0,
"The Review of Politics",Cambridge University Press,,Cambridge Core,,CUP:ROP,,0034-6705,1748-6858,https://www.cambridge.org/core/product/identifier/ROP/type/journal,Journal,Article,"2019",Controlled,Regular,Total_Item_Investigations,2,1,0,0,1,0,0,0,0,0,0,0,0,
"The Review of Politics",Cambridge University Press,,Cambridge Core,,CUP:ROP,,0034-6705,1748-6858,https://www.cambridge.org/core/product/identifier/ROP/type/journal,Journal,Article,"2019",Controlled,Regular,Total_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The Review of Politics",Cambridge University Press,,Cambridge Core,,CUP:ROP,,0034-6705,1748-6858,https://www.cambridge.org/core/product/identifier/ROP/type/journal,Journal,Article,"2019",Controlled,Regular,Unique_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Latin American Politics and Society",Cambridge University Press,,Cambridge Core,,CUP:LAP,,1531-426X,1548-2456,https://www.cambridge.org/core/product/identifier/LAP/type/journal,Journal,Article,"2020",Controlled,Regular,Total_Item_Investigations,5,5,0,0,0,0,0,0,0,0,0,0,0,
"Latin American Politics and Society",Cambridge University Press,,Cambridge Core,,CUP:LAP,,1531-426X,1548-2456,https://www.cambridge.org/core/product/identifier/LAP/type/journal,Journal,Article,"2020",Controlled,Regular,No_License,7,7,0,0,0,0,0,0,0,0,0,0,0,
"Latin American Politics and Society",Cambridge University Press,,Cambridge Core,,CUP:LAP,,1531-426X,1548-2456,https://www.cambridge.org/core/product/identifier/LAP/type/journal,Journal,Article,"2020",OA_Gold,Regular,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Latin American Politics and Society",Cambridge University Press,,Cambridge Core,,CUP:LAP,,1531-426X,1548-2456,https://www.cambridge.org/core/product/identifier/LAP/type/journal,Journal,Article,"2020",OA_Gold,Regular,Total_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Latin American Politics and Society",Cambridge University Press,,Cambridge Core,,CUP:LAP,,1531-426X,1548-2456,https://www.cambridge.org/core/product/identifier/LAP/type/journal,Journal,Article,"2020",OA_Gold,Regular,Unique_Item_Requests,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Development and Psychopathology",Cambridge University Press,,Cambridge Core,,CUP:DPP,,0954-5794,1469-2198,https://www.cambridge.org/core/product/identifier/DPP/type/journal,Journal,Article,"2002",Controlled,Regular,Total_Item_Investigations,6,0,3,0,0,0,0,0,3,0,0,0,0,
"Development and Psychopathology",Cambridge University Press,,Cambridge Core,,CUP:DPP,,0954-5794,1469-2198,https://www.cambridge.org/core/product/identifier/DPP/type/journal,Journal,Article,"2002",Controlled,Regular,Total_Item_Requests,2,0,2,0,0,0,0,0,0,0,0,0,0,
"Development and Psychopathology",Cambridge University Press,,Cambridge Core,,CUP:DPP,,0954-5794,1469-2198,https://www.cambridge.org/core/product/identifier/DPP/type/journal,Journal,Article,"2002",Controlled,Regular,Unique_Item_Requests,1,0,1,0,0,0,0,0,0,0,0,0,0,
"The Journal of Economic History",Cambridge University Press,,Cambridge Core,,CUP:JEH,,0022-0507,1471-6372,https://www.cambridge.org/core/product/identifier/JEH/type/journal,Journal,Article,"2003",Controlled,Regular,Total_Item_Investigations,3,0,1,0,0,0,0,0,0,0,0,2,0,
"The Journal of Economic History",Cambridge University Press,,Cambridge Core,,CUP:JEH,,0022-0507,1471-6372,https://www.cambridge.org/core/product/identifier/JEH/type/journal,Journal,Article,"2003",Controlled,Regular,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0,
"The Journal of Economic History",Cambridge University Press,,Cambridge Core,,CUP:JEH,,0022-0507,1471-6372,https://www.cambridge.org/core/product/identifier/JEH/type/journal,Journal,Article,"2003",Controlled,Regular,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Journal of Latin American Studies",Cambridge University Press,,Cambridge Core,,CUP:LAS,,0022-216X,1469-767X,https://www.cambridge.org/core/product/identifier/LAS/type/journal,Journal,Article,"2005",Controlled,Regular,Total_Item_Investigations,3,0,1,1,1,0,0,0,0,0,0,0,0,
"International Journal of Cultural Property",Cambridge University Press,,Cambridge Core,,CUP:JCP,,0940-7391,1465-7317,https://www.cambridge.org/core/product/identifier/JCP/type/journal,Journal,Article,"2005",Controlled,Regular,Total_Item_Investigations,8,0,4,0,0,0,0,0,0,4,0,0,0,
"International Journal of Cultural Property",Cambridge University Press,,Cambridge Core,,CUP:JCP,,0940-7391,1465-7317,https://www.cambridge.org/core/product/identifier/JCP/type/journal,Journal,Article,"2005",Controlled,Regular,Total_Item_Requests,6,0,2,0,0,0,0,0,0,4,0,0,0,
"International Journal of Cultural Property",Cambridge University Press,,Cambridge Core,,CUP:JCP,,0940-7391,1465-7317,https://www.cambridge.org/core/product/identifier/JCP/type/journal,Journal,Article,"2005",Controlled,Regular,Unique_Item_Requests,3,0,1,0,0,0,0,0,0,2,0,0,0,
"Archaeological Dialogues",Cambridge University Press,,Cambridge Core,,CUP:ARD,,1380-2038,1478-2294,https://www.cambridge.org/core/product/identifier/ARD/type/journal,Journal,Article,"2009",Controlled,Regular,Total_Item_Investigations,3,0,2,1,0,0,0,0,0,0,0,0,0,
"Archaeological Dialogues",Cambridge University Press,,Cambridge Core,,CUP:ARD,,1380-2038,1478-2294,https://www.cambridge.org/core/product/identifier/ARD/type/journal,Journal,Article,"2009",Controlled,Regular,No_License,3,0,2,1,0,0,0,0,0,0,0,0,0,
