title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Mobile Communication and the Protection of Children,ProQuest,Leiden University Press,ProQuest Ebook Central,978-90-8728-080-2,,,2010,Controlled,Regular,Unique Title Requests,1
Carthage. Fact and Myth : Fact and Myth,ProQuest,Sidestone Press,ProQuest Ebook Central,978-90-8890-311-3,,,2015,Controlled,Regular,Unique Title Requests,4
"Reading Contemporary Indonesian Muslim Women Writers : Representation, Identity and Religion of Muslim Women in Indonesian Fiction",ProQuest,Amsterdam University Press,ProQuest Ebook Central,978-90-8964-089-5,,,2009,Controlled,Regular,Unique Title Requests,1
Citizenship Policies in the New Europe,JSTOR,Amsterdam University Press,JSTOR,978-90-89641-08-3,,,2009,Controlled,Regular,Unique Title Requests,2
Women's Writing from the Low Countries 1200-1875,ProQuest,Amsterdam University Press,ProQuest Ebook Central,978-90-8964-129-8,,,2010,Controlled,Regular,Unique Title Requests,1
"Exploring the Caucasus in the 21st Century : Essays on Culture, History and Politics in a Dynamic Context",ProQuest,Amsterdam University Press,ProQuest Ebook Central,978-90-8964-183-0,,,2010,Controlled,Regular,Unique Title Requests,1
How Modern Science Came into the World,JSTOR,Amsterdam University Press,JSTOR,978-90-89642-39-4,,,2010,Controlled,Regular,Unique Title Requests,1
Mapping Intermediality in Performance,JSTOR,Amsterdam University Press,JSTOR,978-90-89642-55-4,,,2010,Controlled,Regular,Unique Title Requests,2
The Making of the New Negro,ProQuest,Amsterdam University Press,ProQuest Ebook Central,978-90-8964-319-3,,,2011,Controlled,Regular,Unique Title Requests,1
In Medias Res,JSTOR,Amsterdam University Press,JSTOR,978-90-89643-29-2,,,2011,Controlled,Regular,Unique Title Requests,1
Seeking Peace in the Wake of War,JSTOR,Amsterdam University Press,JSTOR,978-90-89643-78-0,,,2015,Controlled,Regular,Unique Title Requests,2
Aspects of Urbanization in China,JSTOR,Amsterdam University Press,JSTOR,978-90-89643-98-8,,,2012,Controlled,Regular,Unique Title Requests,1
War of Words,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-12-1,,,2012,Controlled,Regular,Unique Title Requests,1
Landscape Archaeology between Art and Science,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-18-3,,,2012,Controlled,Regular,Unique Title Requests,1
Pacific Strife,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-20-6,,,2015,Controlled,Regular,Unique Title Requests,1
Divided Dreamworlds?,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-36-7,,,2012,Controlled,Regular,Unique Title Requests,2
The European Second Generation Compared,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-43-5,,,2012,Controlled,Regular,Unique Title Requests,3
The Making of the Humanities,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-55-8,,,2012,Controlled,Regular,Unique Title Requests,2
Landscape Biographies,JSTOR,Amsterdam University Press,JSTOR,978-90-89644-72-5,,,2015,Controlled,Regular,Unique Title Requests,1
The Making of the Humanities,JSTOR,Amsterdam University Press,JSTOR,978-90-89645-16-6,,,2014,Controlled,Regular,Unique Title Requests,1
Genocide,ProQuest,Amsterdam University Press,ProQuest Ebook Central,978-90-8964-524-1,,,2016,Controlled,Regular,Unique Title Requests,1
"Migration and Integration in Europe, Southeast Asia, and Australia",JSTOR,Amsterdam University Press,JSTOR,978-90-89645-38-8,,,2015,Controlled,Regular,Unique Title Requests,1
"Secularism, Assimilation and the Crisis of Multiculturalism",JSTOR,Amsterdam University Press,JSTOR,978-90-89645-96-8,,,2013,Controlled,Regular,Unique Title Requests,1
Feminisms,JSTOR,Amsterdam University Press,JSTOR,978-90-89646-76-7,,,2015,Controlled,Regular,Unique Title Requests,5
World Building,JSTOR,Amsterdam University Press,JSTOR,978-90-89647-56-6,,,2017,Controlled,Regular,Unique Title Requests,1
Islamic Studies in the Twenty-First Century,JSTOR,Amsterdam University Press,JSTOR,978-90-89649-26-3,,,2016,Controlled,Regular,Unique Title Requests,1
Anglo-Saxon Literary Landscapes,JSTOR,Amsterdam University Press,JSTOR,978-90-89649-44-7,,,2017,Controlled,Regular,Unique Title Requests,2
The Troubles in Northern Ireland and Theories of Social Movements,JSTOR,Amsterdam University Press,JSTOR,978-90-89649-59-1,,,2017,Controlled,Regular,Unique Title Requests,1
Unpopular Culture,JSTOR,Amsterdam University Press,JSTOR,978-90-89649-66-9,,,2016,Controlled,Regular,Unique Title Requests,4
Diagnostic Radiology Physics : A Handbook for Teachers and Students,ProQuest,IAEA,ProQuest Ebook Central,978-92-0-131010-1,,,2014,Controlled,Regular,Unique Title Requests,1
Women at Work : Trends 2016,ProQuest,ILO,ProQuest Ebook Central,978-92-2-130795-2,,,2016,Controlled,Regular,Unique Title Requests,4
WHO Expert Consultation on Rabies,ProQuest,World Health Organization,ProQuest Ebook Central,978-92-4-120982-3,,,2013,Controlled,Regular,Unique Title Requests,2
Dengue,ProQuest,World Health Organization,ProQuest Ebook Central,978-92-4-154787-1,,,2009,Controlled,Regular,Unique Title Requests,3
Principles for Evaluating Health Risks to Reproduction Associated With Exposure to Chemicals (Environmental health criteria 0250-863X ; 225),EBSCO,World Health Organization,EBSCOhost,978-92-4-157225-5,,,2001,Controlled,Regular,Unique Title Requests,1
Natural Disasters: Protecting the Public's Health (Scientific publication ; no. 575),EBSCO,Pan American Health Organization,EBSCOhost,978-92-75-11575-6,,,2000,Controlled,Regular,Unique Title Requests,1
Vulnerability in Developing Countries,ProQuest,United Nations University Press,ProQuest Ebook Central,978-92-808-1171-1,,,2009,Controlled,Regular,Unique Title Requests,3
Right To Remember - A Handbook For Education With Young People On The Roma Genocide,ProQuest,Council of Europe,ProQuest Ebook Central,978-92-871-7932-6,,,2013,Controlled,Regular,Unique Title Requests,1
Unleashing Economic Growth : Region-Based Urban Development Strategy for Nepal,ProQuest,Asian Development Bank Institute,ProQuest Ebook Central,978-92-9092-021-2,,,1989,Controlled,Regular,Unique Title Requests,1
Solid Waste Management in Nepal : Current Status and Policy Recommendations,ProQuest,Asian Development Bank Institute,ProQuest Ebook Central,978-92-9254-232-0,,,2013,Controlled,Regular,Unique Title Requests,1
Effective Communication,ProQuest,Global Media,ProQuest Ebook Central,978-93-5024-521-7,,,2008,Controlled,Regular,Unique Title Requests,2
Interrogating Women’s Leadership and Empowerment,ProQuest,SAGE Publications,ProQuest Ebook Central,978-93-5150-079-7,,,2014,Controlled,Regular,Unique Title Requests,1
SAGE Series in Human Rights Audits of Peace Processes : Five-Volume Set,ProQuest,SAGE Publications,ProQuest Ebook Central,978-93-5150-098-8,,,2015,Controlled,Regular,Unique Title Requests,1
Valued Daughters : First-Generation Career Women,ProQuest,SAGE Publications,ProQuest Ebook Central,978-93-5150-888-5,,,2016,Controlled,Regular,Unique Title Requests,1
Performing Shakespeare in India,ProQuest,SAGE Publications,ProQuest Ebook Central,978-93-5150-974-5,,,2016,Controlled,Regular,Unique Title Requests,5
Myth of ‘Free Media’ and Fake News in the Post-Truth Era,ProQuest,SAGE Publications,ProQuest Ebook Central,978-93-5328-674-3,,,2019,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Quality of Life and Well-Being Research,Springer,Springer Netherlands,SpringerLink,978-94-007-0753-5,,,2014,Controlled,Regular,Unique Title Requests,7
Encyclopedia of Food and Agricultural Ethics,Springer,Springer Netherlands,SpringerLink,978-94-007-0929-4,,,2014,Controlled,Regular,Unique Title Requests,2
Handbook of the Philosophical Foundations of Business Ethics,Springer,Springer Netherlands,SpringerLink,978-94-007-1494-6,,,2013,Controlled,Regular,Unique Title Requests,1
"Vitalism and the Scientific Image in Post-Enlightenment Life Science, 1800-2010",Springer,Springer Netherlands,SpringerLink,978-94-007-2445-7,2211-1948,2211-1956,2013,Controlled,Regular,Unique Title Requests,2
Handbook of Global Bioethics,Springer,Springer Netherlands,SpringerLink,978-94-007-2512-6,,,2014,Controlled,Regular,Unique Title Requests,4
Handbook of the Sociology of Mental Health,Springer,Springer Netherlands,SpringerLink,978-94-007-4276-5,1389-6903,2542-839X,2013,Controlled,Regular,Unique Title Requests,1
Heavy Metals in Soils,Springer,Springer Netherlands,SpringerLink,978-94-007-4470-7,1566-0745,2215-1702,2013,Controlled,Regular,Unique Title Requests,2
"Project Management for Environmental, Construction and Manufacturing Engineers",Springer,Springer Netherlands,SpringerLink,978-94-007-4476-9,,,2013,Controlled,Regular,Unique Title Requests,1
The Melanin Millennium,Springer,Springer Netherlands,SpringerLink,978-94-007-4608-4,,,2013,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Mathematics Education,Springer,Springer Netherlands,SpringerLink,978-94-007-4978-8,,,2014,Controlled,Regular,Unique Title Requests,3
Climate Change and the Law,Springer,Springer Netherlands,SpringerLink,978-94-007-5440-9,1534-6781,2214-9902,2013,Controlled,Regular,Unique Title Requests,1
Global Environmental Change,Springer,Springer Netherlands,SpringerLink,978-94-007-5784-4,,,2014,Controlled,Regular,Unique Title Requests,1
Higher Education: Handbook of Theory and Research,Springer,Springer Netherlands,SpringerLink,978-94-007-5836-0,0882-4126,2215-1664,2013,Controlled,Regular,Unique Title Requests,2
Handbook of Causal Analysis for Social Research,Springer,Springer Netherlands,SpringerLink,978-94-007-6094-3,1389-6903,2542-839X,2013,Controlled,Regular,Unique Title Requests,1
Gender and Sexuality in Latin America - Cases and Decisions,Springer,Springer Netherlands,SpringerLink,978-94-007-6199-5,1534-6781,2214-9902,2013,Controlled,Regular,Unique Title Requests,2
Encyclopedia of Marine Geosciences,Springer,Springer Netherlands,SpringerLink,978-94-007-6238-1,1388-4360,1871-756X,2016,Controlled,Regular,Unique Title Requests,1
International Handbook of Educational Leadership and Social (In)Justice,Springer,Springer Netherlands,SpringerLink,978-94-007-6555-9,2197-1951,2197-196X,2014,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Marine Geosciences,Springer,Springer Netherlands,SpringerLink,978-94-007-6644-0,1388-4360,1871-756X,2015,Controlled,Regular,Unique Title Requests,3
"Combating Desertification in Asia, Africa and the Middle East",Springer,Springer Netherlands,SpringerLink,978-94-007-6652-5,,,2013,Controlled,Regular,Unique Title Requests,1
Handbook of Social Psychology,Springer,Springer Netherlands,SpringerLink,978-94-007-6772-0,1389-6903,2542-839X,2013,Controlled,Regular,Unique Title Requests,2
Gender and Equestrian Sport,Springer,Springer Netherlands,SpringerLink,978-94-007-6824-6,,,2013,Controlled,Regular,Unique Title Requests,1
Sourcebook for the History of the Philosophy of Mind,Springer,Springer Netherlands,SpringerLink,978-94-007-6967-0,1573-5834,2542-9922,2014,Controlled,Regular,Unique Title Requests,1
People on the Move in a Changing Climate,Springer,Springer Netherlands,SpringerLink,978-94-007-6985-4,2213-2511,2213-252X,2014,Controlled,Regular,Unique Title Requests,1
Philosophical Perspectives on Compulsory Education,Springer,Springer Netherlands,SpringerLink,978-94-007-7311-0,,,2014,Controlled,Regular,Unique Title Requests,4
Homeostasis - Tumor - Metastasis,Springer,Springer Netherlands,SpringerLink,978-94-007-7335-6,,,2014,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Lipidomics,Springer,Springer Netherlands,SpringerLink,978-94-007-7864-1,,,2016,Controlled,Regular,Unique Title Requests,2
Land Use and Land Cover Mapping in Europe,Springer,Springer Netherlands,SpringerLink,978-94-007-7969-3,1567-3200,2215-1842,2014,Controlled,Regular,Unique Title Requests,1
Climate Change and Agriculture Worldwide,Springer,Springer Netherlands,SpringerLink,978-94-017-7462-8,,,2016,Controlled,Regular,Unique Title Requests,1
Adapting to Climate Change,Springer,Springer Netherlands,SpringerLink,978-94-017-8631-7,2542-9787,2542-9795,2014,Controlled,Regular,Unique Title Requests,1
Perspectives on the Intersection of Multiculturalism and Positive Psychology,Springer,Springer Netherlands,SpringerLink,978-94-017-8654-6,2210-5417,2210-5425,2014,Controlled,Regular,Unique Title Requests,2
Encyclopedia of Estuaries,Springer,Springer Netherlands,SpringerLink,978-94-017-8801-4,1388-4360,1871-756X,2016,Controlled,Regular,Unique Title Requests,3
"Psychological, Educational, and Sociological Perspectives on Success and Well-Being in Career Development",Springer,Springer Netherlands,SpringerLink,978-94-017-8911-0,,,2014,Controlled,Regular,Unique Title Requests,1
Handbook of the Social Psychology of Inequality,Springer,Springer Netherlands,SpringerLink,978-94-017-9002-4,1389-6903,2542-839X,2014,Controlled,Regular,Unique Title Requests,1
"Second International Handbook on Globalisation, Education and Policy Research",Springer,Springer Netherlands,SpringerLink,978-94-017-9493-0,,,2015,Controlled,Regular,Unique Title Requests,1
The Trace-Fossil Record of Major Evolutionary Events,Springer,Springer Netherlands,SpringerLink,978-94-017-9600-2,0275-0120,,2016,Controlled,Regular,Unique Title Requests,1
Handbook of Social Movements across Latin America,Springer,Springer Netherlands,SpringerLink,978-94-017-9912-6,1389-6903,2542-839X,2015,Controlled,Regular,Unique Title Requests,2
Public Health Risk Assessment for Human Exposure to Chemicals,Springer,Springer Netherlands,SpringerLink,978-94-024-1039-6,1566-0745,2215-1702,2017,Controlled,Regular,Unique Title Requests,1
DNA Cloning: A Hands-on Approach,Springer,Springer Netherlands,SpringerLink,978-94-024-1662-6,,,2019,Controlled,Regular,Unique Title Requests,1
"Telling Tales over Time : Calendars, Clocks, and School Effectiveness",ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-261-7,,,2013,Controlled,Regular,Unique Title Requests,1
Telling Tales Over Time,Springer,SensePublishers,SpringerLink,978-94-6209-263-1,,,2013,Controlled,Regular,Unique Title Requests,1
Mathematics Classrooms : Students' Activities and Teachers' Practices,ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-280-8,,,2013,Controlled,Regular,Unique Title Requests,1
Bridging Between Research and Practice : Supporting Professional Development Through Collaborative Studies of Classroom Teaching with Technology,ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-433-8,,,2014,Controlled,Regular,Unique Title Requests,1
Career Moves,Springer,SensePublishers,SpringerLink,978-94-6209-485-7,,,2014,Controlled,Regular,Unique Title Requests,1
Gender and Pop Culture,ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-573-1,,,2014,Controlled,Regular,Unique Title Requests,19
"Trayvon Martin, Race, and American Justice",Springer,SensePublishers,SpringerLink,978-94-6209-842-8,,,2014,Controlled,Regular,Unique Title Requests,1
Blackeyed : Plays and Monologues,ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-915-9,,,2015,Controlled,Regular,Unique Title Requests,3
The Memory of Clothes,ProQuest,BRILL,ProQuest Ebook Central,978-94-6209-951-7,,,2015,Controlled,Regular,Unique Title Requests,1
Scholarpedia of Touch,Springer,Atlantis Press,SpringerLink,978-94-6239-133-8,,,2016,Controlled,Regular,Unique Title Requests,1
Powers of Divergence,JSTOR,Leuven University Press,JSTOR,978-94-62701-39-7,,,2018,Controlled,Regular,Unique Title Requests,1
Brokers of Modernity,JSTOR,Leuven University Press,JSTOR,978-94-62701-72-4,,,2019,Controlled,Regular,Unique Title Requests,2
Images of Immigrants and Refugees in Western Europe,JSTOR,Leuven University Press,JSTOR,978-94-62701-80-9,,,2019,Controlled,Regular,Unique Title Requests,1
Strategic Imaginations,JSTOR,Leuven University Press,JSTOR,978-94-62702-47-9,,,2020,Controlled,Regular,Unique Title Requests,4
Linguistic and Cultural Foreign Policies of European States,JSTOR,Amsterdam University Press,JSTOR,978-94-62980-60-0,,,2017,Controlled,Regular,Unique Title Requests,1
Consuming Life in Post-Bubble Japan,JSTOR,Amsterdam University Press,JSTOR,978-94-62980-63-1,,,2018,Controlled,Regular,Unique Title Requests,1
The Datafied Society,JSTOR,Amsterdam University Press,JSTOR,978-94-62981-36-2,,,2017,Controlled,Regular,Unique Title Requests,1
Global Diffusion of Protest,JSTOR,Amsterdam University Press,JSTOR,978-94-62981-69-0,,,2017,Controlled,Regular,Unique Title Requests,1
A Dutch Republican Baroque,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-12-3,,,2017,Controlled,Regular,Unique Title Requests,1
From Media Hype to Twitter Storm,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-17-8,,,2018,Controlled,Regular,Unique Title Requests,5
Nation-Building as Necessary Effort in Fragile States,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-19-2,,,2016,Controlled,Regular,Unique Title Requests,1
Japanese Reflections on World War II and the American Occupation,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-59-8,,,2017,Controlled,Regular,Unique Title Requests,1
Rethinking Authority in the Carolingian Empire,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-64-2,,,2019,Controlled,Regular,Unique Title Requests,2
The Governance of International Migration,JSTOR,Amsterdam University Press,JSTOR,978-94-62982-76-5,,,2018,Controlled,Regular,Unique Title Requests,1
The Dutch and English East India Companies,JSTOR,Amsterdam University Press,JSTOR,978-94-62983-29-8,,,2018,Controlled,Regular,Unique Title Requests,4
"Women and Power at the French Court, 1483-1563",JSTOR,Amsterdam University Press,JSTOR,978-94-62983-42-7,,,2018,Controlled,Regular,Unique Title Requests,14
Popular Music in Southeast Asia,JSTOR,Amsterdam University Press,JSTOR,978-94-62984-03-5,,,2017,Controlled,Regular,Unique Title Requests,1
The Youth of Early Modern Women,JSTOR,Amsterdam University Press,JSTOR,978-94-62984-32-5,,,2018,Controlled,Regular,Unique Title Requests,9
The Playful Citizen,JSTOR,Amsterdam University Press,JSTOR,978-94-62984-52-3,,,2019,Controlled,Regular,Unique Title Requests,2
Urban Europe,JSTOR,Amsterdam University Press,JSTOR,978-94-62984-90-5,,,2016,Controlled,Regular,Unique Title Requests,1
"Gender, Space and Experience at the Renaissance Court",JSTOR,Amsterdam University Press,JSTOR,978-94-62985-53-7,,,2019,Controlled,Regular,Unique Title Requests,1
Stories,JSTOR,Amsterdam University Press,JSTOR,978-94-62985-84-1,,,2018,Controlled,Regular,Unique Title Requests,1
Kurt Baschwitz,JSTOR,Amsterdam University Press,JSTOR,978-94-62986-04-6,,,2018,Controlled,Regular,Unique Title Requests,1
The Uncanny Child in Transnational Cinema,JSTOR,Amsterdam University Press,JSTOR,978-94-62986-51-0,,,2018,Controlled,Regular,Unique Title Requests,1
Feminist Theory and Pop Culture,Springer,SensePublishers,SpringerLink,978-94-6300-061-1,,,2015,Controlled,Regular,Unique Title Requests,1
Beginning Teachers,ProQuest,BRILL,ProQuest Ebook Central,978-94-6300-071-0,,,2015,Controlled,Regular,Unique Title Requests,16
Kohlberg Revisited,Springer,SensePublishers,SpringerLink,978-94-6300-079-6,,,2015,Controlled,Regular,Unique Title Requests,6
"Teaching Gender through Latin American, Latino, and Iberian Texts and Cultures",Springer,SensePublishers,SpringerLink,978-94-6300-091-8,,,2015,Controlled,Regular,Unique Title Requests,1
On the Legacy of Lutheranism in Finland,JSTOR,Finnish Literature Society,JSTOR,978-95-18581-35-5,,,2019,Controlled,Regular,Unique Title Requests,1
The Digital Age and Its Discontents,JSTOR,Helsinki University Press,JSTOR,978-95-23690-13-4,,,2020,Controlled,Regular,Unique Title Requests,1
Remade in Hollywood,ProQuest,Hong Kong University Press,ProQuest Ebook Central,978-962-209-055-2,,,2009,Controlled,Regular,Unique Title Requests,1
Century of Travels in China : Critical Essays on Travel Writing from the 1840s to the 1940s,ProQuest,Hong Kong University Press,ProQuest Ebook Central,978-962-209-845-9,,,2007,Controlled,Regular,Unique Title Requests,2
Soul of Beijing Opera : Theatrical Creativity and Continuity in the Changing World,ProQuest,Hong Kong University Press,ProQuest Ebook Central,978-962-209-994-4,,,2010,Controlled,Regular,Unique Title Requests,1
Art beyond Borders,JSTOR,Central European University Press,JSTOR,978-96-33860-83-0,,,2016,Controlled,Regular,Unique Title Requests,1
The Lettered Knight : Knowledge and aristocratic behaviour in the twelfth and thirteenth centuries,ProQuest,Central European University Press,ProQuest Ebook Central,978-963-386-105-9,,,2015,Controlled,Regular,Unique Title Requests,1
Seeking the Best Master,JSTOR,Central European University Press,JSTOR,978-96-33863-21-3,,,2019,Controlled,Regular,Unique Title Requests,1
Thai Customs and Etiquette,ProQuest,Marshall Cavendish International (Asia) Private Limited,ProQuest Ebook Central,978-967-303-530-4,,,2008,Controlled,Regular,Unique Title Requests,1
"Veracruz, capital de la nación",JSTOR,El Colegio de Mexico,JSTOR,978-96-81203-30-6,,,1986,Controlled,Regular,Unique Title Requests,1
Mujer y literatura mexicana y chicana,JSTOR,El Colegio de Mexico,JSTOR,978-96-81204-47-1,,,1990,Controlled,Regular,Unique Title Requests,1
México ante el libre comercio con América del Norte,JSTOR,El Colegio de Mexico,JSTOR,978-96-81204-74-7,,,1991,Controlled,Regular,Unique Title Requests,1
"Palabras, estratos y representaciones",JSTOR,El Colegio de Mexico,JSTOR,978-96-81206-61-1,,,1995,Controlled,Regular,Unique Title Requests,1
Los disfraces,JSTOR,El Colegio de Mexico,JSTOR,978-96-81209-88-9,,,2000,Controlled,Regular,Unique Title Requests,3
"Historical Study of Women in Jamaica, 1655-1844",ProQuest,University of the West Indies Press,ProQuest Ebook Central,978-976-640-178-8,,,2006,Controlled,Regular,Unique Title Requests,4
Hassan Fathy and Continuity in Islamic Arts and Architecture : The Birth of a New Modern,ProQuest,American University in Cairo Press,ProQuest Ebook Central,978-977-416-341-8,,,2014,Controlled,Regular,Unique Title Requests,1
"Industrial Development In Singapore, Taiwan, & South Korea",ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-02-4627-3,,,2001,Controlled,Regular,Unique Title Requests,1
Land Cover Change and Its Eco-environmental Responses in Nepal,Springer,Springer Singapore,SpringerLink,978-981-10-2890-8,2194-315X,2194-3168,2017,Controlled,Regular,Unique Title Requests,1
Exercise for Cardiovascular Disease Prevention and Treatment,Springer,Springer Singapore,SpringerLink,978-981-10-4304-8,0065-2598,2214-8019,2017,Controlled,Regular,Unique Title Requests,1
"Virtual, Augmented, and Mixed Realities in Education",Springer,Springer Singapore,SpringerLink,978-981-10-5490-7,2522-0888,2522-0896,2017,Controlled,Regular,Unique Title Requests,1
Illustrated Flora of Bambusoideae in China,Springer,Springer Singapore,SpringerLink,978-981-10-8580-2,,,2020,Controlled,Regular,Unique Title Requests,1
Pathways of Job-related Negative Behaviour,Springer,Springer Singapore,SpringerLink,978-981-13-0935-9,2662-3242,2662-3250,2021,Controlled,Regular,Unique Title Requests,1
Survival Strategies in Extreme Cold and Desiccation,Springer,Springer Singapore,SpringerLink,978-981-13-1244-1,0065-2598,2214-8019,2018,Controlled,Regular,Unique Title Requests,1
"Plant Physiology, Development and Metabolism",Springer,Springer Singapore,SpringerLink,978-981-13-2023-1,,,2018,Controlled,Regular,Unique Title Requests,1
Application of Biomedical Engineering in Neuroscience,Springer,Springer Singapore,SpringerLink,978-981-13-7142-4,,,2019,Controlled,Regular,Unique Title Requests,1
"Drug Transporters in Drug Disposition, Effects and Toxicity",Springer,Springer Singapore,SpringerLink,978-981-13-7647-4,0065-2598,2214-8019,2019,Controlled,Regular,Unique Title Requests,1
Autistic Community and the Neurodiversity Movement,Springer,Springer Singapore,SpringerLink,978-981-13-8437-0,,,2020,OA Gold,Regular,Unique Title Requests,1
The Palgrave Handbook of Critical Menstruation Studies,Springer,Springer Singapore,SpringerLink,978-981-15-0614-7,,,2020,OA Gold,Regular,Unique Title Requests,4
Ecological and Practical Applications for Sustainable Agriculture,Springer,Springer Singapore,SpringerLink,978-981-15-3372-3,,,2020,Controlled,Regular,Unique Title Requests,1
Drug Stability and Chemical Kinetics,Springer,Springer Singapore,SpringerLink,978-981-15-6426-0,,,2020,Controlled,Regular,Unique Title Requests,1
Chromatic Polynomials And Chromaticity Of Graphs,ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-256-317-0,,,2005,Controlled,Regular,Unique Title Requests,1
Alternative Treatment For Cancer,ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-270-929-5,,,2007,Controlled,Regular,Unique Title Requests,3
Self-Determination & Constitution Making in Nepal,Springer,Springer Singapore,SpringerLink,978-981-287-005-6,,,2014,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Feeding and Eating Disorders,Springer,Springer Singapore,SpringerLink,978-981-287-087-2,,,2016,Controlled,Regular,Unique Title Requests,2
Manual of Digital Earth,Springer,Springer Singapore,SpringerLink,978-981-32-9915-3,,,2020,OA Gold,Regular,Unique Title Requests,1
Oil In China: From Self-reliance To Internationalization,ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4273-76-3,,,2009,Controlled,Regular,Unique Title Requests,1
Risk And Crisis Management: 101 Cases (Revised Edition),ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4273-89-3,,,2009,Controlled,Regular,Unique Title Requests,1
"Follow The Chemistry: Lure, Lore And Life - An Autobiography Of Goh Lai Yoong",ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4304-00-9,,,2010,Controlled,Regular,Unique Title Requests,1
Orchid Biotechnology Ii,ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4327-92-3,,,2011,Controlled,Regular,Unique Title Requests,1
A History of Journalism in China,ProQuest,"Enrich Professional Publishing (S) Private, Limited",ProQuest Ebook Central,978-981-4332-34-7,,,2013,Controlled,Regular,Unique Title Requests,1
The Cultural Revolution (1966-1976),ProQuest,"Enrich Professional Publishing (S) Private, Limited",ProQuest Ebook Central,978-981-4339-94-0,,,2013,Controlled,Regular,Unique Title Requests,2
Winning With Risk Management,ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4383-88-2,,,2013,Controlled,Regular,Unique Title Requests,1
"New Economic Growth Engine For China, A: Escaping The Middle-income Trap By Not Doing More Of The Same",ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4425-53-7,,,2012,Controlled,Regular,Unique Title Requests,1
"Integral Equations, Boundary Value Problems And Related Problems",ProQuest,World Scientific Publishing Company,ProQuest Ebook Central,978-981-4452-87-8,,,2013,Controlled,Regular,Unique Title Requests,1
Myanmar,ProQuest,Marshall Cavendish International (Asia) Private Limited,ProQuest Ebook Central,978-981-4516-16-7,,,2013,Controlled,Regular,Unique Title Requests,3
Principles Of Artificial Neural Networks (3rd Edition),ProQuest,World Scientific Publishing Co Pte Ltd,ProQuest Ebook Central,978-981-4522-73-1,,,2013,Controlled,Regular,Unique Title Requests,1
Assessment of Environmental Impact by Grocery Shopping Bags,Springer,Springer Singapore,SpringerLink,978-981-4560-20-7,2193-4614,2193-4622,2014,Controlled,Regular,Unique Title Requests,1
Boundaries and Beyond,JSTOR,NUS Press,JSTOR,978-98-14722-01-8,,,2017,Controlled,Regular,Unique Title Requests,1
Encrucijadas abiertas,JSTOR,CLACSO,JSTOR,978-98-74617-62-0,,,2018,Controlled,Regular,Unique Title Requests,2
Comments on a notorious verdict,JSTOR,CLACSO,JSTOR,978-98-77223-09-5,,,2018,Controlled,Regular,Unique Title Requests,1
Fernando Martínez Heredia,JSTOR,CLACSO,JSTOR,978-98-77223-31-6,,,2018,Controlled,Regular,Unique Title Requests,1
Ciencia por la verdad,JSTOR,CLACSO,JSTOR,978-98-77224-52-8,,,2019,Controlled,Regular,Unique Title Requests,1
Estudios rurales en México,JSTOR,CLACSO,JSTOR,978-98-77224-54-2,,,2019,Controlled,Regular,Unique Title Requests,3
Antología del pensamiento crítico guatemalteco contemporáneo,JSTOR,CLACSO,JSTOR,978-98-77225-56-3,,,2019,Controlled,Regular,Unique Title Requests,3
Ancestral Images : A Hong Kong Collection,ProQuest,Hong Kong University Press,ProQuest Ebook Central,978-988-8083-09-1,,,2011,Controlled,Regular,Unique Title Requests,1
Southeast Asian Independent Cinema,ProQuest,Hong Kong University Press,ProQuest Ebook Central,978-988-8083-60-2,,,2012,Controlled,Regular,Unique Title Requests,1
